timestamp,camera_profile,total_people,zone_count,occupancy,peak_occupancy,line_entries,line_exits,density_level,alert_message,incident_active,incident_duration,danger_zone,recommendation,predicted_people,predicted_occupancy,risk_trend,anomaly_detected,anomaly_type,anomaly_score,anomaly_severity,anomaly_zone,anomaly_recommendation
2026-06-22 14:34:30,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:34:38,crowd_video,6,3,3,3,0,0,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,18,9,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-22 14:34:44,crowd_video,5,3,4,4,0,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,5,4,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:34:49,crowd_video,4,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,1,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:34:55,crowd_video,5,2,3,6,2,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,5,4,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:01,crowd_video,3,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:06,crowd_video,3,1,5,6,3,2,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,6,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:11,crowd_video,9,7,8,8,3,2,Critical,DANGER: Critical crowd density!,True,3,Table Area,Dispatch security immediately and redirect crowd flow.,11,9,Stable,True,Zone Overload,70,High,Table Area,Monitor
2026-06-22 14:35:16,crowd_video,9,6,7,10,3,2,Critical,DANGER: Critical crowd density!,True,8,Entrance Area,Dispatch security immediately and redirect crowd flow.,9,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:22,crowd_video,9,4,6,10,4,2,High,WARNING: High crowd density!,True,0,Entrance Area,Increase monitoring and prepare crowd-control response.,9,6,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:27,crowd_video,11,7,7,10,4,3,Critical,DANGER: Critical crowd density!,True,3,Entrance Area,Dispatch security immediately and redirect crowd flow.,12,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:32,crowd_video,9,7,7,10,6,3,Critical,DANGER: Critical crowd density!,True,8,Table Area,Dispatch security immediately and redirect crowd flow.,8,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:38,crowd_video,9,6,7,10,8,3,Critical,DANGER: Critical crowd density!,True,14,Table Area,Dispatch security immediately and redirect crowd flow.,9,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:43,crowd_video,6,5,8,10,11,3,High,WARNING: High crowd density!,True,19,Entrance Area,Increase monitoring and prepare crowd-control response.,5,9,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 14:35:48,crowd_video,7,5,8,10,11,5,High,WARNING: High crowd density!,True,24,Table Area,Increase monitoring and prepare crowd-control response.,6,8,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:32:05,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:32:38,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:32:59,crowd_video,6,3,3,3,0,0,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,18,9,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:04,crowd_video,6,4,4,4,0,1,High,WARNING: High crowd density!,True,3,Table Area,Increase monitoring and prepare crowd-control response.,8,5,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:09,crowd_video,4,1,6,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:14,crowd_video,5,2,3,6,2,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,5,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:19,crowd_video,3,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,2,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:24,crowd_video,2,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,2,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:30,crowd_video,2,1,4,6,3,2,Low,SAFE: Crowd level is low.,False,0,None,Monitor,2,5,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:35,crowd_video,10,7,10,10,3,2,Critical,DANGER: Critical crowd density!,True,4,Table Area,Dispatch security immediately and redirect crowd flow.,13,13,Increasing,True,Zone Overload,70,High,Table Area,Monitor
2026-06-22 15:33:40,crowd_video,8,4,7,10,3,2,High,WARNING: High crowd density!,True,9,Entrance Area,Increase monitoring and prepare crowd-control response.,7,6,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:45,crowd_video,8,3,6,10,4,2,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,8,6,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:51,crowd_video,8,5,7,10,4,3,High,WARNING: High crowd density!,True,4,Entrance Area,Increase monitoring and prepare crowd-control response.,7,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:33:57,crowd_video,9,6,8,10,7,3,Critical,DANGER: Critical crowd density!,True,10,Table Area,Dispatch security immediately and redirect crowd flow.,9,8,Stable,True,Zone Overload,70,High,Table Area,Monitor
2026-06-22 15:34:02,crowd_video,8,4,6,10,9,3,High,WARNING: High crowd density!,True,15,Entrance Area,Increase monitoring and prepare crowd-control response.,8,5,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 15:34:08,crowd_video,8,7,7,10,11,4,Critical,DANGER: Critical crowd density!,True,21,Entrance Area,Dispatch security immediately and redirect crowd flow.,8,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:16:56,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:17:21,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:17:37,crowd_video,6,3,3,3,0,0,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,18,9,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-22 17:17:43,crowd_video,6,4,4,4,0,1,High,WARNING: High crowd density!,True,2,Table Area,Increase monitoring and prepare crowd-control response.,9,6,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-22 17:17:49,crowd_video,4,2,6,6,1,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,3,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:17:54,crowd_video,5,2,3,6,2,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,5,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:00,crowd_video,3,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:05,crowd_video,3,1,3,6,3,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,3,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:11,crowd_video,7,5,5,6,3,2,High,WARNING: High crowd density!,True,1,Table Area,Increase monitoring and prepare crowd-control response.,8,5,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:17,crowd_video,8,6,7,10,3,2,Critical,DANGER: Critical crowd density!,True,7,Table Area,Dispatch security immediately and redirect crowd flow.,8,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:22,crowd_video,8,4,7,10,4,2,High,WARNING: High crowd density!,True,0,Entrance Area,Increase monitoring and prepare crowd-control response.,8,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:28,crowd_video,11,7,7,10,4,3,Critical,DANGER: Critical crowd density!,True,3,Entrance Area,Dispatch security immediately and redirect crowd flow.,12,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:34,crowd_video,8,6,7,10,6,3,Critical,DANGER: Critical crowd density!,True,8,Table Area,Dispatch security immediately and redirect crowd flow.,8,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:39,crowd_video,7,4,7,10,9,3,High,WARNING: High crowd density!,True,14,Table Area,Increase monitoring and prepare crowd-control response.,7,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-22 17:18:45,crowd_video,9,6,8,10,11,4,Critical,DANGER: Critical crowd density!,True,20,Entrance Area,Dispatch security immediately and redirect crowd flow.,9,9,Stable,True,Zone Overload,70,High,Entrance Area,Redirect people away from the overloaded zone and deploy staff to control movement.
2026-06-23 08:18:07,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:18:46,crowd_video,0,0,0,0,0,0,Low,SAFE: Crowd level is low.,False,0,None,Monitor,0,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:19:45,crowd_video,6,3,3,3,0,0,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,18,9,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-23 08:19:51,crowd_video,6,4,4,4,0,1,High,WARNING: High crowd density!,True,2,Table Area,Increase monitoring and prepare crowd-control response.,10,7,Increasing,False,Normal,0,Normal,None,Monitor
2026-06-23 08:19:56,crowd_video,6,4,6,6,1,1,High,WARNING: High crowd density!,True,1,Entrance Area,Increase monitoring and prepare crowd-control response.,6,7,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:01,crowd_video,4,1,1,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,3,0,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:07,crowd_video,5,2,3,6,2,1,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,5,4,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:13,crowd_video,3,1,2,6,2,1,Low,SAFE: Crowd level is low.,False,0,None,Monitor,2,2,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:19,crowd_video,4,2,4,6,3,2,Medium,NOTICE: Moderate crowd density.,False,0,None,Monitor,4,5,Stable,True,Occupancy Spike,50,Medium,Entrance Area,Redirect crowd flow away from the overloaded area.
2026-06-23 08:20:23,crowd_video,6,4,4,6,3,2,High,WARNING: High crowd density!,True,1,Table Area,Increase monitoring and prepare crowd-control response.,7,4,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:29,crowd_video,7,5,9,10,3,2,High,WARNING: High crowd density!,True,7,Service Area,Increase monitoring and prepare crowd-control response.,7,11,Stable,False,Normal,0,Normal,None,Monitor
2026-06-23 08:20:35,crowd_video,8,6,9,10,3,2,Critical,DANGER: Critical crowd density!,True,12,Table Area,Dispatch security immediately and redirect crowd flow.,8,9,Stable,True,Zone Overload,70,High,Table Area,Redirect people away from the overloaded zone and deploy staff to control movement.
